Employee_ID,Store_ID,Employee_Name,Department,Salary,Joining_Date
EMP0001,STR001,Employee 1,Warehouse,30000,2023-01-01
EMP0002,STR002,Employee 2,HR,30000,2023-01-01
EMP0003,STR003,Employee 3,Finance,30000,2023-01-01
EMP0004,STR004,Employee 4,IT,30000,2023-01-01
EMP0005,STR005,Employee 5,Operations,30000,2023-01-01
EMP0006,STR006,Employee 6,Sales,30000,2023-01-01
EMP0007,STR007,Employee 7,Warehouse,30000,2023-01-01
EMP0008,STR008,Employee 8,HR,30000,2023-01-01
EMP0009,STR009,Employee 9,Finance,30000,2023-01-01
EMP0010,STR010,Employee 10,IT,30000,2023-01-01
EMP0011,STR011,Employee 11,Operations,30000,2023-01-01
EMP0012,STR012,Employee 12,Sales,30000,2023-01-01
EMP0013,STR013,Employee 13,Warehouse,30000,2023-01-01
EMP0014,STR014,Employee 14,HR,30000,2023-01-01
EMP0015,STR015,Employee 15,Finance,30000,2023-01-01
EMP0016,STR016,Employee 16,IT,30000,2023-01-01
EMP0017,STR017,Employee 17,Operations,30000,2023-01-01
EMP0018,STR018,Employee 18,Sales,30000,2023-01-01
EMP0019,STR019,Employee 19,Warehouse,30000,2023-01-01
EMP0020,STR020,Employee 20,HR,30000,2023-01-01
EMP0021,STR021,Employee 21,Finance,30000,2023-01-01
EMP0022,STR022,Employee 22,IT,30000,2023-01-01
EMP0023,STR023,Employee 23,Operations,30000,2023-01-01
EMP0024,STR024,Employee 24,Sales,30000,2023-01-01
EMP0025,STR025,Employee 25,Warehouse,30000,2023-01-01
EMP0026,STR026,Employee 26,HR,30000,2023-01-01
EMP0027,STR027,Employee 27,Finance,30000,2023-01-01
EMP0028,STR028,Employee 28,IT,30000,2023-01-01
EMP0029,STR029,Employee 29,Operations,30000,2023-01-01
EMP0030,STR030,Employee 30,Sales,30000,2023-01-01
EMP0031,STR031,Employee 31,Warehouse,30000,2023-01-01
EMP0032,STR032,Employee 32,HR,30000,2023-01-01
EMP0033,STR033,Employee 33,Finance,30000,2023-01-01
EMP0034,STR034,Employee 34,IT,30000,2023-01-01
EMP0035,STR035,Employee 35,Operations,30000,2023-01-01
EMP0036,STR036,Employee 36,Sales,30000,2023-01-01
EMP0037,STR037,Employee 37,Warehouse,30000,2023-01-01
EMP0038,STR038,Employee 38,HR,30000,2023-01-01
EMP0039,STR039,Employee 39,Finance,30000,2023-01-01
EMP0040,STR040,Employee 40,IT,30000,2023-01-01
EMP0041,STR041,Employee 41,Operations,30000,2023-01-01
EMP0042,STR042,Employee 42,Sales,30000,2023-01-01
